"Bedrijven; bedrijfsgrootte en rechtsvorm"
"Perioden: 2025 4e kwartaal**"
"";"Onderwerp"
"";"Totaal bedrijven";"Bedrijfsgrootte|1 werkzaam persoon";"Bedrijfsgrootte|2 tot 10 werkzame personen";"Bedrijfsgrootte|10 tot 50 werkzame personen";"Bedrijfsgrootte|50 tot 250 werkzame personen"
"Bedrijfstakken/branches SBI 2008";"aantal";"aantal";"aantal";"aantal";"aantal"
"A-U Alle economische activiteiten";"2392455";"1965125";"354805";"56675";"12150"
"Business Economy, B-N, excl. K, incl. 95";"1630865";"1317745";"256120";"45325";"9525"
"A Landbouw, bosbouw en visserij";"78235";"40715";"35520";"1805";"185"
"B-E Nijverheid (geen bouw) en energie";"91615";"65650";"17135";"6115";"2170"
"B Delfstoffenwinning";"645";"505";"65";"40";"35"
"C Industrie";"86720";"61975";"16420";"5820";"2020"
"D Energievoorziening";"2205";"1800";"275";"75";"35"
"E Waterbedrijven en afvalbeheer";"2045";"1375";"375";"185";"80"
"F Bouwnijverheid";"270790";"234820";"30445";"4595";"775"
"G-I Handel, vervoer en horeca";"446310";"299380";"121860";"20980";"3440"
"G Handel";"295740";"201125";"80125";"11835";"2245"
"H Vervoer en opslag";"68945";"53460";"11935";"2655";"720"
"I Horeca";"81625";"44795";"29800";"6490";"480"
"J Informatie en communicatie";"132900";"114255";"14685";"3095";"720"
"K Financiële dienstverlening";"35750";"29240";"5395";"775";"235"
"L Verhuur en handel van onroerend goed";"39400";"30605";"8080";"500";"180"
"M-N Zakelijke dienstverlening";"640125";"565010";"62295";"9965";"2230"
"M Specialistische zakelijke diensten";"505770";"455230";"43310";"6040";"980"
"N Verhuur en overige zakelijke diensten";"134355";"109780";"18980";"3930";"1250"
"O-Q Overheid en zorg";"379855";"337875";"32765";"6180";"1675"
"O Openbaar bestuur en overheidsdiensten";"920";"325";"35";"60";"210"
"P Onderwijs";"141800";"130760";"9075";"1005";"555"
"Q Gezondheids- en welzijnszorg";"237140";"206795";"23655";"5115";"915"
"R-U Cultuur, recreatie, overige diensten";"277475";"247575";"26635";"2665";"535"
"R Cultuur, sport en recreatie";"141335";"127700";"11875";"1405";"320"
"S Overige dienstverlening";"135980";"119830";"14680";"1225";"215"
"T Huishoudens";"25";"20";"5";"0";"0"
"U Extraterritoriale organisaties";"135";"25";"75";"30";"5"
"Bron: CBS"
