Jaar;Kwartaal;1 werkzaam persoon;2 tot 10 werkzame personen;10 tot 50 werkzame personen;50 tot 250 werkzame personen;250 tot 500 werkzame personen;500 tot 1000 werkzame personen;1000 tot 2000 werkzame personen;2000 of meer werkzame personen
2020;Vierde kwartaal;82415;13700;2940;655;75;20;15;10
2021;Eerste kwartaal;82630;13820;2960;650;80;25;10;10
2021;Tweede kwartaal;84490;13960;3015;655;80;25;10;10
2021;Derde kwartaal;86785;14205;3070;665;85;25;10;10
2021;Vierde kwartaal;89020;14445;3075;670;85;30;10;10
2022;Eerste kwartaal;91490;14625;3140;675;85;30;10;10
2022;Tweede kwartaal;91535;14455;3180;685;90;25;15;10
2022;Derde kwartaal;93050;14465;3240;700;85;30;10;10
2022;Vierde kwartaal;94500;14470;3240;720;85;30;15;10
2023;Eerste kwartaal;95045;14285;3180;725;85;30;15;10
2023;Tweede kwartaal;96755;14275;3230;730;80;35;15;10
2023;Derde kwartaal;103600;14500;3265;745;85;35;15;10
2023;Vierde kwartaal;104865;14520;3270;735;85;35;15;10
2024;Eerste kwartaal;107150;14560;3200;730;85;35;15;10
2024;Tweede kwartaal;107330;14430;3220;720;80;40;15;10
2024;Derde kwartaal;108995;14565;3235;725;80;40;15;10
2024;Vierde kwartaal;110025;14595;3195;725;85;40;15;10
2025;Eerste kwartaal*;111130;14580;3140;705;85;40;10;10
2025;Tweede kwartaal*;110470;14420;3135;710;85;35;10;10
2025;Derde kwartaal*;112380;14545;3130;710;85;40;10;10
2025;Vierde kwartaal*;114260;14695;3090;715;85;40;10;10
